ID,Title,Description,Role
US012,Review and Approve Applications,"As a club admin, I want to review and approve membership applications so that I can manage club membership. Acceptance Criteria: Admin can view a list of applications with applicant details; Admin can approve or reject applications with comments; Applicants are notified of the decision via email or in-system notification.",Club Admin
US013,Track Recruitment Campaign Statistics,"As a club admin, I want to view recruitment campaign statistics so that I can assess its success. Acceptance Criteria: System displays metrics (e.g., number of applications, approvals); Admin can filter stats by campaign or date range; Data is exportable as a CSV file.",Club Admin
US014,Edit Recruitment Campaign,"As a club admin, I want to edit a recruitment campaign so that I can update its details or status. Acceptance Criteria: Admin can modify campaign details (e.g., dates, description); Changes are reflected immediately for users; System logs changes for audit purposes.",Club Admin
US015,Receive Club Application Result Notification,"As a user, I want to receive a notification about my club application result so that I know my membership status. Acceptance Criteria: User receives an email or in-system notification with the result; Notification includes reasons for rejection, if applicable.",Registered User
US016,View Club Member Information,"As a club admin, I want to view member information so that I can manage the club roster. Acceptance Criteria: Admin can view a list of members with details (e.g., name, role); List is filterable and sortable.",Club Admin
US017,Remove Club Member,"As a club admin, I want to remove a member so that I can update the club roster. Acceptance Criteria: Admin can select a member and confirm removal; Member is notified of removal via email or in-system notification; Member loses access to club-specific features.",Club Admin
US018,Change Member Role,"As a club admin, I want to change a member’s role so that I can assign appropriate permissions. Acceptance Criteria: Admin can assign roles (e.g., member, organizer, admin); Role changes update permissions immediately; Member is notified of the role change.",Club Admin
US019,Update Club Information,"As a club admin, I want to update club information so that it remains accurate and relevant. Acceptance Criteria: Admin can edit club description, contact info, or logo; Changes are reflected on the club’s public page; System logs updates for audit purposes.",Club Admin
US020,Filter/Search Events,"As a user, I want to filter or search for events so that I can find events of interest. Acceptance Criteria: User can search by event name, date, or club; System displays filtered results with basic event details; Results are sortable by date or relevance.",Prospective User
US021,View Event Information,"As a user, I want to view detailed event information so that I can decide to participate. Acceptance Criteria: Event page displays date, location, description, and organizer details; User can view participation requirements and ticket information.",Prospective User
US022,Create Event,"As a club admin, I want to create an event so that members and users can participate. Acceptance Criteria: Admin can set event details (e.g., date, location, description); Event is visible to users on the club’s page or event directory; System notifies members of the new event.",Club Admin
US023,Join Event as Organizer,"As a club member, I want to join an event as an organizer so that I can help manage it. Acceptance Criteria: Member can request to join as an organizer; Admin approves or rejects the request; Approved organizers gain access to event management tools.",Club Member
US024,Register for Event,"As a user, I want to register for an event so that I can participate. Acceptance Criteria: User can register via an event-specific form; System confirms registration and issues a ticket (if applicable); Registration is visible to event organizers.",Registered User
US025,Mark Event as Interested,"As a user, I want to mark an event as interested so that I can track it for later. Acceptance Criteria: User can mark an event with a single click; System saves the event to the user’s “Interested” list; User receives notifications for event updates.",Registered User
US026,Edit Event Information,"As an event organizer, I want to edit event details so that I can keep information accurate. Acceptance Criteria: Organizer can modify event date, location, or description; Changes are reflected immediately for users; System notifies registered users of updates.",Event Organizer
US027,View Event Participants,"As an event organizer, I want to view the list of participants so that I can manage attendance. Acceptance Criteria: Organizer can view a list of registered participants; List includes participant names and contact details (if permitted); List is exportable as a CSV file.",Event Organizer
US028,Request Event Budget,"As an event organizer, I want to request a budget for an event so that I can cover expenses. Acceptance Criteria: Organizer can submit a budget request with itemized expenses; Admin receives and reviews the request; System tracks request status (e.g., Pending, Approved, Rejected).",Event Organizer
US029,Approve Event Budget,"As a club admin, I want to approve or reject event budget requests so that I can manage club finances. Acceptance Criteria: Admin can view budget details and approve/reject with comments; Organizer is notified of the decision; Approved budgets are added to financial tracking.",Club Admin
US030,Track Event Progress,"As an event organizer, I want to track event preparation progress so that I can ensure timely completion. Acceptance Criteria: Organizer can view a checklist of tasks (e.g., venue booked, materials ready); System allows updating task statuses; Progress is visible to all organizers.",Event Organizer
US031,View Event Participation History,"As a user, I want to view my event participation history so that I can track my involvement. Acceptance Criteria: User can view a list of past events attended; List includes event name, date, and role (e.g., participant, organizer).",Registered User
US032,View Past Event Details,"As a user, I want to view details of events I attended so that I can recall information. Acceptance Criteria: User can access past event pages with full details; System indicates if the event is archived.",Registered User
US033,View Event Ticket,"As a registered user, I want to view my event ticket so that I can present it for entry. Acceptance Criteria: User can view a digital ticket with event details and QR code; Ticket is accessible via email or user profile.",Registered User
US034,Receive Event Interest Notifications,"As a user, I want to receive notifications for events I marked as interested so that I stay updated. Acceptance Criteria: User receives updates for event changes or reminders; Notifications are sent via email or in-system; User can opt out of notifications.",Registered User
US035,Receive Event Participation Reminders,"As a registered user, I want to receive reminders for events I’m attending so that I don’t miss them. Acceptance Criteria: System sends reminders (e.g., 24 hours before the event); Reminders include event details and ticket access; User can customize reminder settings.",Registered User
US036,Contribute to Club Fund,"As a club member, I want to contribute to the club fund so that I can support club activities. Acceptance Criteria: Member can submit a payment via integrated payment gateway; System records the contribution and updates financial records; Member receives a confirmation of payment.",Club Member
US037,Pay Event Participation Fee,"As a user, I want to pay an event participation fee so that I can attend the event. Acceptance Criteria: User can pay via integrated payment gateway during registration; System confirms payment and issues a ticket; Payment is recorded in financial tracking.",Registered User
US038,Track Event Financials,"As an event organizer, I want to track event income and expenses so that I can manage the budget. Acceptance Criteria: System displays total income (e.g., ticket sales) and expenses; Organizer can filter by event or date range; Data is exportable as a CSV file.",Event Organizer
US039,Track Club Financials by Period,"As a club admin, I want to track club income and expenses by period so that I can monitor financial health. Acceptance Criteria: System displays financial summary by month, quarter, or year; Admin can view contributions, event fees, and expenses; Data is exportable as a CSV file.",Club Admin
US040,Export Financial Report as PDF,"As a club admin, I want to export a financial report as a PDF so that I can share it with stakeholders. Acceptance Criteria: System generates a PDF with income, expenses, and balance; Report includes club name, period, and date generated; PDF is downloadable and shareable.",Club Admin
US041,View Club Fund Contribution History,"As a club admin, I want to view the club’s fund contribution history so that I can track member contributions. Acceptance Criteria: System displays a list of contributions with member names and amounts; List is filterable by date or member.",Club Admin
US042,Post Internal Activity,"As a club admin, I want to post an internal activity so that members are informed of club updates. Acceptance Criteria: Admin can create a post with text, images, or attachments; Post is visible only to club members; Members receive a notification of the new post.",Club Admin
US043,Receive New Activity Notifications,"As a club member, I want to receive notifications for new activities so that I stay updated. Acceptance Criteria: Member receives notifications via email or in-system; Notifications include a summary of the activity; Member can opt out of notifications.",Club Member
